20303220;;[TW] 台湾
20000466;;香港
163704;;河北省
163705;;山西省
163706;;内蒙古自治区
163707;;辽宁省
163708;;吉林省
163709;;黑龙江省
163710;;上海市
163711;;江苏省
163712;;浙江省
163713;;安徽省
163714;;福建省
163715;;江西省
163716;;山东省
163717;;河南省
163718;;湖北省
163719;;湖南省
163720;;广东省
163721;;广西壮族自治区
163722;;海南省
163723;;重庆市
163724;;四川省
163725;;贵州省
163726;;云南省
163727;;西藏自治区
163728;;陕西省
163729;;甘肃省
163730;;青海省
163731;;宁夏回族自治区
163732;;新疆维吾尔自治区
163702;;北京市
163703;;天津市
20000464;163712;平湖市
20000465;163712;浦江县
20000467;163706;区牙克石市
20000468;163712;宁海县
20000470;163724;南冲市
209514;163717;济源市
20001140;163725;都匀市
17376;163703;市辖区
17392;163703;县
17396;163704;石家庄市
17421;163704;唐山市
17438;163704;秦皇岛市
17447;163704;邯郸市
17468;163704;邢台市
17489;163704;保定市
17516;163704;张家口市
17535;163704;承德市
17548;163704;沧州市
17566;163704;廊坊市
17577;163704;衡水市
17590;163705;太原市
17602;163705;大同市
17615;163705;阳泉市
17622;163705;长治市
17637;163705;晋城市
17645;163705;朔州市
17653;163705;忻州市
17668;163705;吕梁市
17682;163705;晋中市
17694;163705;临汾市
17712;163705;运城市
17726;163706;呼和浩特市
17737;163706;包头市
17748;163706;乌海市
17753;163706;赤峰市
17767;163706;呼伦贝尔市
17781;163706;兴安盟
17788;163706;通辽市
17797;163706;锡林郭勒盟
17810;163706;乌兰察布市
17822;163706;鄂尔多斯市
17831;163706;巴彦淖尔市
17839;163706;阿拉善盟
17843;163707;沈阳市
17858;163707;大连市
17870;163707;鞍山市
17879;163707;抚顺市
17888;163707;本溪市
17896;163707;丹东市
17904;163707;锦州市
17913;163707;营口市
17921;163707;阜新市
17930;163707;辽阳市
17939;163707;盘锦市
17945;163707;铁岭市
17954;163707;朝阳市
17963;163707;葫芦岛市
17971;163708;长春市
17983;163708;吉林市
17994;163708;四平市
18002;163708;辽源市
18008;163708;通化市
18017;163708;白山市
18025;163708;松原市
18032;163708;白城市
18039;163708;延边朝鲜族自治州
18048;163709;哈尔滨市
18069;163709;齐齐哈尔市
18087;163709;鸡西市
18098;163709;鹤岗市
18108;163709;双鸭山市
18118;163709;大庆市
